id;floors;x;y;label_en;label_de;category;location_id;location_label_de;location_label_en
stage1;0;786;459;STG-01;STG-01;session-location;rp15-location-5591;STG-01;STG-01
stage2;0;171;227;STG-02;STG-02;session-location;rp15-location-5929;STG-02;STG-02
stage3;0;365;575;STG-03;STG-03;session-location;rp15-location-5930;STG-03;STG-03
stage4;0;1087;862;STG-04;STG-04;session-location;rp15-location-5931;STG-04;STG-04
stage5;0;1665;883;STG-05;STG-05;session-location;rp15-location-5932;STG-05;STG-05
stage6;0;1837;1235;STG-06;STG-06;session-location;rp15-location-5933;STG-06;STG-06
stage7;0;2941;1286;STG-07;STG-07;session-location;rp15-location-5934;STG-07;STG-07
stage8;0;2282;177;STG-08;STG-08;session-location;rp15-location-5935;STG-08;STG-08
stage9;0;1969;150;STG-09;STG-09;session-location;rp15-location-5936;STG-09;STG-09
stage10;0;1759;153;STG-10;STG-10;session-location;rp15-location-5937;STG-10;STG-10
stage11;0;1446;159;STG-11;STG-11;session-location;rp15-location-5934;STG-11;STG-11
staget;0;3128;884;STG-T;STG-T;session-location;rp15-location-5934;STG-T;STG-T
stagej;0;3150;1093;STG-J;STG-J;session-location;rp15-location-5934;STG-J;STG-J

